"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3051078.24474227,0.0548079858797904,0.0613396999363364,0.0681373787017969,0.164735864441038,-0.115698121404297,0.00460113748061071,0.00222516613795404,0,1,2334
-3051404.46488688,0.0548330321657323,0.062864687196995,0.0670747760349069,0.164013680779589,-0.119847186653043,0.00661189540810916,0.00305510760335055,0,2335,4668
-3052019.84201868,0.0543427129887752,0.0584383970094975,0.0681956331362035,0.165793376402911,-0.108894310749613,0.00641134883082224,0.00141031334319091,0,4669,7002
-3051873.58415962,0.054192603835135,0.0594580143925386,0.0680955810950101,0.163806403141553,-0.109289551357413,0.00734839255920386,0.00179852636970335,0,7003,9336
-3052034.72902151,0.0548806309764617,0.0608696653906871,0.0677434948269426,0.164456379525124,-0.114547066513787,0.00531126992437452,0.0020151405857483,0,9337,11670
-3051580.68248228,0.0549071169014079,0.060577953998779,0.068087735010271,0.164220100683486,-0.120682180059092,0.00476147850167831,0.00237117639325534,0,11671,14004
-3052107.73045226,0.0550591815855012,0.0621671084432488,0.0658923964074961,0.163009192165509,-0.115522972505796,0.00714560797268211,0.00331875025593012,0,14005,16338
-3051528.75961546,0.0548151995563968,0.0600570423858702,0.0671310661582686,0.163958078091697,-0.111144921757367,0.00610694700668079,0.0017854073503204,0,16339,18672
-3051487.87310498,0.0548762003976418,0.0592298797723157,0.0685698303507897,0.166283491837721,-0.123653176611055,0.00834946789909449,0.00265119105305929,0,18673,21006
-3051560.83288858,0.0549496552514567,0.0628134899411114,0.0674649588354135,0.164311096348444,-0.117389770906382,0.0063333998142146,0.00282275709853144,0,21007,23340
-3051680.48303401,0.0550355876938318,0.0606242628256655,0.067698141496962,0.166642322843219,-0.113795844647697,0.00664437915232931,0.00239124545908859,0,23341,25674
-3052219.38001938,0.0548169368157751,0.0583867670215402,0.0696119862613995,0.164278847719699,-0.10879312308024,0.00686395050001858,0.00140531504319042,0,25675,28008
-3051637.33659659,0.0547631102911416,0.0579773706739174,0.0675704083736299,0.164463527820697,-0.111605657024947,0.00594295940887389,0.00190038796099486,0,28009,30342
-3052035.65240634,0.0543972766988235,0.0607216684111564,0.0686181139047982,0.164990929470541,-0.119669465043476,0.00723451665658185,0.00256396612714552,0,30343,32676
-3051061.73694468,0.054693739609528,0.0586721546553309,0.0691902072481542,0.165407868367338,-0.128014611704411,0.00598794647580393,0.00331051189735718,0,32677,35010
