id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
mTP4v5,bg2TZk,SnoringBMIadj,AD,Inverse variance weighted (fixed effects),30,-1.288949014667112e-4,0.001344368161920119,0.9236177210678039
mTP4v5,bg2TZk,SnoringBMIadj,AD,MR Egger,30,-0.003634844150087046,0.002279022809878341,0.1219585235882819
mTP4v5,bg2TZk,SnoringBMIadj,AD,Weighted median,30,-0.0027593619179151897,0.0019278312178363432,0.15233576967720258
mTP4v5,bg2TZk,SnoringBMIadj,AD,Weighted mode,30,-0.002598566430362239,0.0019435279921876986,0.19160514239506637
mTP4v5,jbpcgr,Snoring,AD,Inverse variance weighted (fixed effects),30,-0.0021614873908967144,0.001366690172448953,0.11375257863547406
mTP4v5,jbpcgr,Snoring,AD,MR Egger,30,-0.0061280384678545664,0.001965087232452176,0.004181795368265827
mTP4v5,jbpcgr,Snoring,AD,Weighted median,30,-0.004851592153588064,0.0019492418107408122,0.012811603774672112
mTP4v5,jbpcgr,Snoring,AD,Weighted mode,30,-0.004407726064221067,0.0019481231682300828,0.031329015964358
TW76wp,bg2TZk,SnoringBMIadj,BMI,Inverse variance weighted (fixed effects),67,-0.025665976771883984,0.005270430241986741,1.117074436570761e-6
TW76wp,bg2TZk,SnoringBMIadj,BMI,MR Egger,67,-0.11140926417376577,0.02738216565802043,1.3037589687286958e-4
TW76wp,bg2TZk,SnoringBMIadj,BMI,Weighted median,67,-0.04559654522268223,0.009887619786289527,3.998151788522135e-6
TW76wp,bg2TZk,SnoringBMIadj,BMI,Weighted mode,67,-0.07674316904857817,0.015011054423619663,2.936578991110601e-6
TW76wp,jbpcgr,Snoring,BMI,Inverse variance weighted (fixed effects),65,0.04432301770646485,0.005482853369011869,6.271094120995924e-16
TW76wp,jbpcgr,Snoring,BMI,MR Egger,65,-0.04553090531795021,0.025731622519649673,0.0816578045927563
TW76wp,jbpcgr,Snoring,BMI,Weighted median,65,0.01779291130240664,0.009851029368659751,0.07088738934964701
TW76wp,jbpcgr,Snoring,BMI,Weighted mode,65,-2.7125912220610227e-4,0.014196181340285734,0.9848144809307084
