"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-3064851.47304065,0.000581257051838159,0.075674309650663,0.058715068679681,1.07996018197619e-06,5.04773745759648e-07,0.234641166444046,0.252165189883516,0.0383279633348031,-0.0184803632728888,0,1.12006599163145,1.04130228486834
2,-3064872.10918331,0.000581257051838159,0.075674309650663,0.0596149521089429,0.0307582202323989,2.48894140510079e-05,-0.14685266724896,0.0119073007400307,0.0425058683762162,0.00738849137507653,0,1.12006599163145,1.04130228486834
3,-3064910.24123441,0.000581257051838159,0.075674309650663,0.0566976556544064,1.61849201569909e-06,0.0303410552251769,0.238083616756505,-0.0588945269382874,0.100275873932636,-0.0060223718681217,0,1.12006599163145,1.04130228486834
4,-3064878.60058832,0.000581257051838159,0.075674309650663,0.0580911386417934,1.78161094799959e-05,7.76399062802618e-06,-0.2497269124535,-0.112499479548578,0.121242435841427,0.0102024389937702,0,1.12006599163145,1.04130228486834
5,-3064900.81126519,0.000581257051838159,0.075674309650663,0.0565603645304454,0.0570506224357743,0.0419587595399364,-0.00656682973327571,0.0130399467594094,0.157840449560602,-0.00454838415265711,0,1.12006599163145,1.04130228486834
6,-3064901.31265586,0.000581257051838159,0.075674309650663,0.0557859340651641,0.0387845609709957,0.0532523092015861,-0.126985127324002,0.00252397153999771,0.30445357217137,-0.00680854534137179,0,1.12006599163145,1.04130228486834
7,-3064912.91865708,0.000581257051838159,0.075674309650663,0.0554307705504824,0.0371652488073854,0.0200359130027831,0.136505447948138,-0.142081593540539,0.209489014961661,7.60152856552925e-05,0,1.12006599163145,1.04130228486834
8,-3064889.2790556,0.000581257051838159,0.075674309650663,0.0575037468078973,0.0265858886781466,0.0498423226541566,0.162134123177681,0.107232496841998,-0.0410115321954329,-0.0103730584463437,0,1.12006599163145,1.04130228486834
9,-3064902.75444754,0.000581257051838159,0.075674309650663,0.0576848454962684,0.0418827212968656,1.41453669828284e-05,-0.119391955649327,0.00736660060494234,0.164552173700412,-0.00493766342630982,0,1.12006599163145,1.04130228486834
10,-3064878.34460905,0.000581257051838159,0.075674309650663,0.0567923361540068,0.0342446843659924,0.0586973451892543,0.133328306030579,0.168488340140944,-0.0991135913895106,-0.00911648311645261,0,1.12006599163145,1.04130228486834
11,-3064907.34701124,0.000581257051838159,0.075674309650663,0.0570868572861472,0.000605999852774082,0.00255532543883867,-0.233484747616847,-0.0265128006307002,0.221022363262595,-0.00771041883207101,0,1.12006599163145,1.04130228486834
12,-3064914.0130613,0.000581257051838159,0.075674309650663,0.055588132046627,2.07959209670191e-05,0.0136310642753394,0.236382865944021,-0.13992563080185,0.207834520083055,-0.000885483956305829,0,1.12006599163145,1.04130228486834
13,-3064913.99864105,0.000581257051838159,0.075674309650663,0.0553872315631233,4.89109528395023e-06,0.268568756611275,0.272897535086197,-0.148414701852028,-0.746917803695877,-0.000298895491347556,0,1.12006599163145,1.04130228486834
14,-3064913.71866635,0.000581257051838159,0.075674309650663,0.0546442867549964,0.000246194087791729,0.0361871174133386,-0.227695612797536,-0.161231603327551,0.456758380093696,-0.00166684852482045,0,1.12006599163145,1.04130228486834
15,-3064826.94295766,0.000581257051838159,0.075674309650663,0.0582925605187114,6.56896426207776e-06,0.000204460059635673,-0.223300579772846,0.26107735262265,-0.193798581359347,0.00581655921860276,0,1.12006599163145,1.04130228486834
16,-3064906.10221721,0.000581257051838159,0.075674309650663,0.0554519373080656,0.0511161876849975,0.0432172437284917,0.0806963128259101,-0.097099295871623,0.138726956888041,0.00140579085379999,0,1.12006599163145,1.04130228486834
17,-3064914.03271075,0.000581257051838159,0.075674309650663,0.0553243747098455,0.000176083487618626,0.0412401628852731,0.240455320078231,-0.155324229821777,0.09593683544272,4.99451225330093e-05,0,1.12006599163145,1.04130228486834
18,-3064854.28156315,0.000581257051838159,0.075674309650663,0.0558719189867593,0.0215012023942553,7.04902196010765e-06,0.173100321031127,0.111169818990491,0.275811700742358,-0.0273330987599105,0,1.12006599163145,1.04130228486834
19,-3064901.52186321,0.000581257051838159,0.075674309650663,0.0537449063587147,0.0353393603160987,0.0502487857401465,-0.123671961168731,-0.0882399591458581,0.404090479047308,-0.0043760607076117,0,1.12006599163145,1.04130228486834
20,-3064912.56181005,0.000581257051838159,0.075674309650663,0.0559078367463733,0.0419705780624276,0.0184424069631365,-0.112621885874517,-0.11094203023539,0.290369280524172,-0.00178324711381832,0,1.12006599163145,1.04130228486834
21,-3064858.03718396,0.000581257051838159,0.075674309650663,0.0537543896755108,0.0474371485205674,0.0748103707763589,0.0701036178514314,0.218489086784728,-0.0331548983726377,-0.0171778574104354,0,1.12006599163145,1.04130228486834
22,-3064882.83108754,0.000581257051838159,0.075674309650663,0.0561350438605818,0.0528016020600562,0.0578232013830309,0.0317308156416253,0.139248202942473,0.0314154974340808,-0.00963653532361346,0,1.12006599163145,1.04130228486834
23,-3064848.62215306,0.000581257051838159,0.075674309650663,0.0587241838731159,0.000407903789956492,0.000833053750466475,-0.23740247876887,0.244483948276516,-0.0821448404479254,-0.00327879161771004,0,1.12006599163145,1.04130228486834
24,-3064912.45548708,0.000581257051838159,0.075674309650663,0.0562367035679702,7.66417803459187e-06,0.034096656208747,-0.233426961936784,-0.0978234741222391,0.384195887385764,-0.00231609920088207,0,1.12006599163145,1.04130228486834
25,-3064912.89329516,0.000581257051838159,0.075674309650663,0.0552684170793812,0.0242578591870956,0.024232700289511,-0.171047270091013,-0.133293974408168,0.349823060621058,-0.0021018651439162,0,1.12006599163145,1.04130228486834
26,-3064913.48198439,0.000581257051838159,0.075674309650663,0.0552001321597486,0.0156124703488546,0.020979828184537,0.200316488823807,-0.157914654981522,0.198462750233923,0.000280713083028227,0,1.12006599163145,1.04130228486834
27,-3064913.92264929,0.000581257051838159,0.075674309650663,0.0552014810019803,0.0462759377530009,0.00435316711192877,0.093035730698513,-0.153946130008723,0.265530104805482,7.91405220804325e-05,0,1.12006599163145,1.04130228486834
28,-3064869.22806287,0.000581257051838159,0.075674309650663,0.0595507941830403,0.00414601717505773,0.00109493558872011,0.229241709134517,0.108983625574612,-0.00669302435970277,0.00564345717075535,0,1.12006599163145,1.04130228486834
29,-3064891.64370255,0.000581257051838159,0.075674309650663,0.0583305571683431,3.35594320659011e-05,0.0132595219625025,0.238616277609392,0.0702732194634392,0.111554759401935,-0.0151991763476926,0,1.12006599163145,1.04130228486834
30,-3064910.57821816,0.000581257051838159,0.075674309650663,0.0566983420766656,8.13423485898386e-05,0.0752696769686609,0.239868790079287,-0.064860151600499,-0.0819459763141208,-0.00569651916707045,0,1.12006599163145,1.04130228486834
31,-3064907.88492474,0.000581257051838159,0.075674309650663,0.0575088895475762,0.0431520430837856,1.59216672235294e-05,-0.117316865261437,-0.0667418333828411,0.186777364019881,-2.05412175080351e-05,0,1.12006599163145,1.04130228486834
32,-3064913.19743921,0.000581257051838159,0.075674309650663,0.0549995329602346,2.72257170005591e-07,0.109773276260385,-0.212448568126955,-0.17168099798168,0.848147838119717,-0.000725123657635128,0,1.12006599163145,1.04130228486834
33,-3064906.04189167,0.000581257051838159,0.075674309650663,0.057458117631013,0.0427075767028453,0.00359065661532271,0.113657463872415,-0.0145117892344293,0.192690334542102,-0.00768132643856285,0,1.12006599163145,1.04130228486834
34,-3064879.02298299,0.000581257051838159,0.075674309650663,0.0591756141964342,0.0127320314119066,5.71867952534552e-05,0.203449029011071,0.144132596566571,0.118635231547561,-0.0154407566573357,0,1.12006599163145,1.04130228486834
35,-3064913.49586448,0.000581257051838159,0.075674309650663,0.0556187208350492,0.0344651002113317,0.000290286319806841,0.14373773916869,-0.123502613092305,0.263390973014239,-0.00285244150692023,0,1.12006599163145,1.04130228486834
36,-3064842.52585114,0.000581257051838159,0.075674309650663,0.060274637866403,3.88818208654266e-07,2.05631293237619e-06,0.23531269440103,0.26932924037476,0.0255170129997488,-0.0168516145305391,0,1.12006599163145,1.04130228486834
37,-3064898.19253259,0.000581257051838159,0.075674309650663,0.0567830487684507,0.0345496953631028,0.0521241899149137,-0.146475453415586,0.0408733358846032,0.281902267651324,-0.00637504945610972,0,1.12006599163145,1.04130228486834
38,-3064911.36580647,0.000581257051838159,0.075674309650663,0.0566783974607606,0.000123427304133944,0.0122012510152212,-0.239072899650465,-0.0957375863683789,0.28461127607227,-0.00339334431586877,0,1.12006599163145,1.04130228486834
39,-3064899.50428708,0.000581257051838159,0.075674309650663,0.0562483118345493,0.057963217244836,0.0434918311329004,-0.0203756140765282,-0.0288716904846246,0.15309393307855,0.0014790453310707,0,1.12006599163145,1.04130228486834
40,-3064896.58504054,0.000581257051838159,0.075674309650663,0.0589017057845728,3.81308829816167e-06,0.0104771294205324,-0.237092534423057,0.0420959745152086,0.166056083946076,-0.00463202894801361,0,1.12006599163145,1.04130228486834
41,-3064911.96856198,0.000581257051838159,0.075674309650663,0.0557371823699764,0.0135265934998159,1.02886623848393e-05,-0.20280102880467,-0.179622936546716,0.26551765989007,0.00273095827555392,0,1.12006599163145,1.04130228486834
42,-3064865.82427947,0.000581257051838159,0.075674309650663,0.0549477832201303,0.0501896642882969,0.0712788972072917,-0.0645598894178311,0.21197216771242,0.12550694652872,-0.0136517884067431,0,1.12006599163145,1.04130228486834
43,-3064905.2295149,0.000581257051838159,0.075674309650663,0.0572560798155575,0.000348333906209823,0.0133640310781409,0.235619436733747,-0.00759558260308621,0.146749211977413,-0.00837799117496549,0,1.12006599163145,1.04130228486834
44,-3064899.33176094,0.000581257051838159,0.075674309650663,0.0528084365663556,0.0481008502898286,0.0415329485288874,0.057001012633925,-0.141126705886284,0.278042634053958,-0.00458596820340279,0,1.12006599163145,1.04130228486834
45,-3064914.29139275,0.000581257051838159,0.075674309650663,0.0553175754164887,0.0545826329300776,0.00172285461069437,-0.0035766253529944,-0.152600803108176,0.276139627310094,-0.000457185080994829,0,1.12006599163145,1.04130228486834
46,-3064905.19469044,0.000581257051838159,0.075674309650663,0.0548962369586338,0.0458807709969027,0.0397217841768877,-0.0885452674719269,-0.0515316961219149,0.308009673635377,-0.00740827665945865,0,1.12006599163145,1.04130228486834
47,-3064874.40501518,0.000581257051838159,0.075674309650663,0.0573302841261028,0.0482719570651511,0.041183390695689,0.0691784849255341,0.178103191112264,0.0397114964650975,-0.0161401019321086,0,1.12006599163145,1.04130228486834
48,-3064887.66883621,0.000581257051838159,0.075674309650663,0.054724888067449,0.0020054401120892,7.30835257306737e-06,0.217278476456124,-0.0700687045674634,0.349373936966812,-0.0132122350936805,0,1.12006599163145,1.04130228486834
49,-3064767.49979956,0.000581257051838159,0.075674309650663,0.0584520122033823,3.35611022498657e-06,3.86506896286818e-07,-0.243287554642063,-0.0670152812398213,-0.0739923770484106,0.027930904988539,0,1.12006599163145,1.04130228486834
50,-3064858.0379381,0.000581257051838159,0.075674309650663,0.0548991992510991,0.053141049907649,0.0680546942627105,-0.0537577668909932,0.253961405603865,0.0348144246433551,-0.00854855900440968,0,1.12006599163145,1.04130228486834
