"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-3049098.25299218,0.0553430350379589,0.0542278191574274,0.000991634187091425,0.0066817614613316,-0.152034687432501,0.278805253770826,-0.00119414529573389,0,1,2333
-3049249.26327342,0.0552780252769142,0.0543964964032653,0.00143081788179862,0.00525305050384366,-0.153356243071485,0.274169408292677,-0.000456618690499451,0,2334,4666
-3049947.11039207,0.0546442853518707,0.054630278871276,0.000608511705224373,0.00529350065503954,-0.149642484012972,0.281595744450578,-0.00144306482145846,0,4667,6999
-3049844.59332359,0.0546877469089091,0.0542209446580857,3.89430395603757e-05,-0.00105099851176248,-0.142028600770445,0.281434456090868,-0.00157962129387964,0,7000,9332
-3049878.46869996,0.0554083379323866,0.054591198794556,0.000198735846208702,0.00580259812825671,-0.154861990843204,0.27642082574075,-0.00104784613165369,0,9333,11665
-3049562.963777,0.0553510634879886,0.0543520541797136,0.00294125622876213,0.00677487852056717,-0.159202185736095,0.276345174262772,9.53241139671577e-06,0,11666,13998
-3049973.5585168,0.055295612179236,0.0544121162310614,9.23799255901456e-05,0.00765743861375095,-0.156475572826482,0.276705922903505,-0.000277078671251204,0,13999,16331
-3049461.70302977,0.055279886720879,0.0549343386169548,0.00120354822925155,0.0036910480334039,-0.149184746329204,0.275049927134509,-0.00153291039181411,0,16332,18664
-3049459.48904995,0.0555236627209672,0.0546195562949649,0.000185730442891148,0.00664056197072922,-0.155809281950949,0.276450092235091,4.27411345651748e-05,0,18665,20997
-3049470.71547277,0.0554333105400409,0.0545246907396343,0.00144913941285411,0.014968333582507,-0.160194547599545,0.276203647281406,0.000146410709463485,0,20998,23330
-3049584.19816026,0.0553774794332092,0.054890592777418,4.79916872845439e-05,0.0207601095464261,-0.152750716018687,0.276239174321646,-0.000216548608440059,0,23331,25663
-3050111.51174066,0.0554642644778405,0.0542836553044192,0.00091719733353031,0.00687132405988779,-0.143957783112842,0.283897574341348,-0.00163726291022268,0,25664,27996
-3049676.45044186,0.0551285106038677,0.0534399204302325,8.63213225920879e-05,0.0115480408444287,-0.151050318129307,0.277829310443726,-0.000550159692711401,0,27997,30329
-3049868.76005977,0.055240044221564,0.0547816506944466,0.00109759489232478,0.00484432324781483,-0.152427863990902,0.276212141770268,-0.000756816431073386,0,30330,32662
-3048961.18942596,0.055365725261419,0.0541493085777959,0.00033600803789392,0.00596805909866563,-0.156890217181913,0.284259541921197,-8.07308990268941e-05,0,32663,34995
-3049128.70703652,0.0555394760205331,0.0538819509590195,0.00184575141345986,0.00316640696996389,-0.149463680458392,0.278876718928034,-0.00093146048522536,0,34996,37328
-3048731.19985957,0.0554092562662462,0.0548779872973332,0.00138593937747868,0.0083677309012336,-0.150255238165593,0.279460413792965,-0.000982025489598555,0,37329,39661
-3049441.85618379,0.0553300393950181,0.0549099605419103,0.000888766251633887,0.0116250377369472,-0.153879252712904,0.276368674067818,7.46835891018e-05,0,39662,41994
-3049821.17732792,0.0554570966182561,0.0540569297080444,0.000517484017386941,0.00275229828462748,-0.141176005802084,0.277982030563856,-0.000952953330172905,0,41995,44327
