"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-3462803.6692627,0.000621827223898034,8.10355234951257e-05,0.0560470785433343,0.0222516193019818,0.0668596184314255,-0.0452053389669874,-3.53802920005266e-05,0.211597654860913,0.0023801735550291,0,1.1109065042541,1.07675654976508
2,-3462801.32756589,0.000621827223898034,8.10355234951257e-05,0.0596156834721465,0.0227328466631117,0.000101933992987523,0.0340515195531394,-0.0326639460582816,0.177350240160904,0.000488640870993557,0,1.1109065042541,1.07675654976508
3,-3462656.01935362,0.000621827223898034,8.10355234951257e-05,0.0584828278225227,0.0210437640617111,0.023493641764451,-0.0553005102668595,0.0592098691079209,-0.209355928642442,0.0207592072189898,0,1.1109065042541,1.07675654976508
4,-3462807.19200936,0.000621827223898034,8.10355234951257e-05,0.0569104190969353,0.0227669056361979,0.0569078039369838,-0.0331489994252632,-0.0135920775834071,0.077107934009316,0.0142792214676445,0,1.1109065042541,1.07675654976508
5,-3462550.73063385,0.000621827223898034,8.10355234951257e-05,0.0406328963177766,0.0202190314807917,0.146650036522407,-0.0904573977912374,0.235683541407095,0.0954819332696371,-0.00420168223644974,0,1.1109065042541,1.07675654976508
6,-3462612.36728672,0.000621827223898034,8.10355234951257e-05,0.0457060688155211,0.0199381189874886,0.138968833453827,-0.077771033363128,0.116768037119262,0.346737141200028,-0.0085235685443551,0,1.1109065042541,1.07675654976508
7,-3462737.56952671,0.000621827223898034,8.10355234951257e-05,0.0529278079464231,0.0229871766282125,0.0867747342945584,-0.0136686064801398,0.00429623415922928,0.246938294717573,-0.00870690825589338,0,1.1109065042541,1.07675654976508
8,-3462789.88189878,0.000621827223898034,8.10355234951257e-05,0.0539849120014083,0.02234900425909,0.0847239196426016,-0.0448904064138449,0.0158410478871367,0.226738540999541,0.0012663669730486,0,1.1109065042541,1.07675654976508
9,-3462700.6728003,0.000621827223898034,8.10355234951257e-05,0.0488260286733652,0.0222290468079547,0.108676335971459,-0.0458022207633278,0.0244705509775187,0.332498581592489,-0.00459823358374279,0,1.1109065042541,1.07675654976508
10,-3462627.15732062,0.000621827223898034,8.10355234951257e-05,0.0431340270108239,0.0208655870313166,0.140783614969941,-0.0792544059669262,0.180985794919273,0.170564804005431,-0.00961011645758553,0,1.1109065042541,1.07675654976508
11,-3462738.22333711,0.000621827223898034,8.10355234951257e-05,0.0552509246101027,0.0228607855470044,0.0723787027153393,0.0396073740561556,-0.0683671445594818,-0.0757216349182703,0.0205302160764872,0,1.1109065042541,1.07675654976508
12,-3462250.05426968,0.000621827223898034,8.10355234951257e-05,0.0454664144852605,0.0204934074793058,0.117353013918601,0.0513597725263325,-0.343372207097467,0.351823924055805,0.0444675211816063,0,1.1109065042541,1.07675654976508
13,-3462807.6963179,0.000621827223898034,8.10355234951257e-05,0.0601614534416598,0.0229606795626105,2.81561844162712e-05,0.034571525874603,-0.0358893700491204,0.110950215716028,0.00714589229791182,0,1.1109065042541,1.07675654976508
14,-3462815.5267158,0.000621827223898034,8.10355234951257e-05,0.0577571712922837,0.0227951774916247,0.0488576967056325,-0.0359395907336789,-0.0134654419787534,0.128003824831491,0.0089532250163015,0,1.1109065042541,1.07675654976508
15,-3462798.82187592,0.000621827223898034,8.10355234951257e-05,0.0579353226113892,0.0236100810018174,0.0432388987918462,0.00672011734216119,-0.0420395511768258,0.0992084674377796,0.00982592237379846,0,1.1109065042541,1.07675654976508
16,-3462813.75338873,0.000621827223898034,8.10355234951257e-05,0.0571879845850733,0.0228255767726076,0.0570999567760402,-0.0384263492206462,-0.000252237979197568,0.104848329260072,0.0092461850927945,0,1.1109065042541,1.07675654976508
17,-3462773.67580577,0.000621827223898034,8.10355234951257e-05,0.0551014451372379,0.0223170913008667,0.0694615293962338,-0.0383572653581368,-0.021151345471657,0.280586067333124,0.00195023081677645,0,1.1109065042541,1.07675654976508
18,-3462814.0089323,0.000621827223898034,8.10355234951257e-05,0.0565253553608338,0.022593776951125,0.0628756923090174,-0.0408401490158378,-0.00156181523792849,0.157252340354352,0.00723001644788296,0,1.1109065042541,1.07675654976508
19,-3462814.91401987,0.000621827223898034,8.10355234951257e-05,0.0578841301349043,0.0224456412773192,0.0524116077281184,-0.0409957685888164,-0.00439888911448197,0.116219704015137,0.00885265597535284,0,1.1109065042541,1.07675654976508
20,-3462683.48880867,0.000621827223898034,8.10355234951257e-05,0.0474438426726923,0.0215409692766108,0.123786117101611,-0.0685221917334352,0.131842807654266,0.23037829365704,-0.0135946021452482,0,1.1109065042541,1.07675654976508
21,-3462814.11894518,0.000621827223898034,8.10355234951257e-05,0.0570992355506877,0.0227466714591877,0.0554846242215972,-0.03940910445251,-0.00955049314149146,0.113002367920534,0.0111937742116383,0,1.1109065042541,1.07675654976508
22,-3461713.90972842,0.000621827223898034,8.10355234951257e-05,0.000955645747992207,0.0192289020176314,0.346027775204759,-0.192220524825052,0.423461952851438,0.594508760351171,0.0165463245205411,0,1.1109065042541,1.07675654976508
23,-3462793.16540043,0.000621827223898034,8.10355234951257e-05,0.0574189016295344,0.0227999641381105,0.0513140228419116,0.0387144667989408,-0.0630639505976855,0.0560706445105728,0.0105108317570017,0,1.1109065042541,1.07675654976508
24,-3462798.92486477,0.000621827223898034,8.10355234951257e-05,0.0555586014680188,0.0223512288499563,0.0738236128323177,-0.048637232925409,0.0224619198053236,0.202993291163915,-0.00107377091235657,0,1.1109065042541,1.07675654976508
25,-3462205.96029634,0.000621827223898034,8.10355234951257e-05,0.0233372739530266,0.0189389638946993,0.217807725326564,-0.144135765401843,0.426214642451563,0.230862470460077,-0.00687137584255547,0,1.1109065042541,1.07675654976508
26,-3462468.01900792,0.000621827223898034,8.10355234951257e-05,0.0373756060490853,0.0196103932716822,0.171967621958277,-0.100728381863102,0.251446508599643,0.256771347366827,-0.0117738782418844,0,1.1109065042541,1.07675654976508
27,-3462808.60410816,0.000621827223898034,8.10355234951257e-05,0.0551730416558847,0.0228024961272072,0.071886966660409,-0.0382293311133302,0.00391953105818678,0.174129767960608,0.0049490962450547,0,1.1109065042541,1.07675654976508
28,-3462795.17507826,0.000621827223898034,8.10355234951257e-05,0.0566284236761421,0.0228164760980414,0.0601100215789457,-0.0393466937568049,0.00428076591231206,0.0287981759384416,0.0147246263574931,0,1.1109065042541,1.07675654976508
29,-3462736.27253519,0.000621827223898034,8.10355234951257e-05,0.053651132536517,0.0237992043643713,0.0796092826667021,0.0134079589504005,-0.0287576152894364,-0.0643981782707133,0.0185556340616721,0,1.1109065042541,1.07675654976508
30,-3462743.38385857,0.000621827223898034,8.10355234951257e-05,0.0527893465169448,0.022611135638034,0.0895040156993887,-0.0530456632839644,0.10220639778675,-0.003896860842167,0.00119599190852864,0,1.1109065042541,1.07675654976508
