id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
5EWRaH,pvjE15,AD,SnoringBMIadj,Inverse variance weighted (fixed effects),26,0.25847147783473046,0.44047519344478725,0.5573370695266748
5EWRaH,pvjE15,AD,SnoringBMIadj,MR Egger,26,4.960104179494008,2.3568939874360133,0.045991053529111064
5EWRaH,pvjE15,AD,SnoringBMIadj,Weighted median,26,0.40552235604289405,0.6127112657904659,0.5080679810805726
5EWRaH,pvjE15,AD,SnoringBMIadj,Weighted mode,26,1.296569092918121,1.0987821739531296,0.2491047952346401
fM1Jjx,pvjE15,AD,Snoring,Inverse variance weighted (fixed effects),31,-0.17660378184880388,0.3948235161790267,0.6546598876117355
fM1Jjx,pvjE15,AD,Snoring,MR Egger,31,3.170907439292281,2.314210355427171,0.18114256164889633
fM1Jjx,pvjE15,AD,Snoring,Weighted median,31,0.13443775397104385,0.5943945550889294,0.8210645740464568
fM1Jjx,pvjE15,AD,Snoring,Weighted mode,31,0.2071433329774539,1.082574279791363,0.8495457920210897
SEc4H6,pvjE15,AD,SAsnoring,Inverse variance weighted (fixed effects),29,0.05239093366713649,0.12305789870386764,0.6702957489751843
SEc4H6,pvjE15,AD,SAsnoring,MR Egger,29,-0.23621119776841087,0.3444303214438455,0.4986845288464554
SEc4H6,pvjE15,AD,SAsnoring,Weighted median,29,-0.02093980308585053,0.17473434153905387,0.9046115287714933
SEc4H6,pvjE15,AD,SAsnoring,Weighted mode,29,-0.27041900303059485,0.3057101502229914,0.3839269935951447
